posteam,posteam_type,defteam,side_of_field,yardline_100,half_seconds_remaining,game_seconds_remaining,qtr,down,ydstogo,ydsnet,yards_gained,epa,wp,def_wp,wpa,vegas_wpa,pass_attempt,season,cp,cpoe,goal_to_go,air_yards,field_goal_attempt,field_goal_result,kick_distance,score_differential,no_score_prob,opp_fg_prob,opp_td_prob,fg_prob,td_prob,punt_blocked,punt_inside_twenty,touchback,punt_attempt,fourth_down_converted,touchdown
NYJ,away,CAR,NYJ,76.0,1387.0,3187.0,1.0,4.0,8.0,-13.0,0.0,-0.43106413,0.35344067,0.64655936,-0.012078196,-0.019188553,0.0,2021,,,0,,0.0,,,0.0,0.014010364,0.23405023,0.42045897,0.13849081,0.1858232,0.0,0.0,0.0,0.0,0.0,0.0
NYJ,away,CAR,NYJ,81.0,1382.0,3182.0,1.0,4.0,13.0,-13.0,0.0,-0.61678576,0.34136248,0.6586375,-0.016901582,-0.02366805,0.0,2021,,,0,,0.0,,,0.0,0.014891186,0.25512308,0.44308686,0.110548615,0.16806266,0.0,0.0,0.0,0.0,0.0,0.0
NYJ,away,CAR,NYJ,75.0,987.0,2787.0,1.0,4.0,10.0,5.0,0.0,-0.42638355,0.36134318,0.63865685,-0.012202412,-0.025268316,0.0,2021,,,0,,0.0,,,0.0,0.042267453,0.22569825,0.40268433,0.12392374,0.19825916,0.0,0.0,0.0,0.0,0.0,0.0
CAR,home,NYJ,NYJ,4.0,693.0,2493.0,2.0,4.0,1.0,76.0,0.0,-3.9198148,0.6808316,0.3191684,-0.09540078,-0.0373424,0.0,2021,,,0,,0.0,,,0.0,0.025444869,0.030188804,0.048850965,0.46847454,0.42430454,0.0,0.0,0.0,0.0,0.0,0.0
NYJ,away,CAR,CAR,42.0,258.0,2058.0,2.0,4.0,1.0,32.0,-1.0,-2.9583619,0.36549178,0.63450825,-0.12703094,-0.05408293,0.0,2021,,,0,,0.0,,,-3.0,0.347742,0.10056204,0.14569178,0.13464549,0.2645486,0.0,0.0,0.0,0.0,0.0,0.0
CAR,home,NYJ,CAR,71.0,1273.0,1273.0,3.0,4.0,7.0,-2.0,0.0,-0.81124157,0.9340785,0.065921485,-0.0027939677,-0.0032223463,0.0,2021,,,0,,0.0,,,16.0,0.020050917,0.21098684,0.3626181,0.14142267,0.25854275,0.0,0.0,0.0,0.0,0.0,0.0
CAR,home,NYJ,NYJ,6.0,576.0,576.0,4.0,4.0,2.0,52.0,0.0,-0.26773334,0.9296856,0.07031441,-0.003442347,-0.0077627897,0.0,2021,,,0,,0.0,,,8.0,0.022990927,0.017169751,0.020722294,0.8149893,0.12310024,0.0,0.0,0.0,0.0,0.0,0.0
CAR,home,NYJ,NYJ,38.0,276.0,276.0,4.0,4.0,9.0,11.0,0.0,-0.3688136,0.97929686,0.020703137,-0.004052639,-0.0032792091,0.0,2021,,,0,,0.0,,,11.0,0.3180298,0.11741738,0.15334366,0.1970538,0.20600227,0.0,0.0,0.0,0.0,0.0,0.0
NYJ,away,CAR,NYJ,75.0,200.0,200.0,4.0,4.0,8.0,93.0,25.0,3.527396,0.018915135,0.9810849,0.019080661,0.020540306,1.0,2021,0.4957925,50.42075,0,18.0,0.0,,,-11.0,0.4262311,0.15801118,0.24626805,0.07569336,0.09023668,0.0,0.0,0.0,0.0,1.0,0.0
ATL,home,PHI,PHI,24.0,1050.0,2850.0,1.0,4.0,1.0,74.0,1.0,1.4631697,0.45086768,0.54913235,0.07766423,0.036308944,1.0,2021,0.7985771,20.142292,0,1.0,0.0,,,-4.0,0.0071782414,0.06461728,0.07163459,0.48700282,0.36785236,0.0,0.0,0.0,0.0,1.0,0.0
PHI,away,ATL,ATL,36.0,775.0,2575.0,2.0,4.0,4.0,47.0,0.0,-3.2944376,0.565923,0.43407702,-0.11630881,-0.09695512,1.0,2021,,,0,16.0,0.0,,,1.0,0.023696946,0.12241579,0.20232311,0.39140144,0.2555806,0.0,0.0,0.0,0.0,0.0,0.0
PHI,away,ATL,ATL,20.0,1323.0,1323.0,3.0,4.0,2.0,50.0,1.0,-3.735892,0.8818002,0.118199825,-0.0943097,-0.053220063,0.0,2021,,,0,,0.0,,,9.0,0.0021202886,0.0366638,0.05367114,0.7852974,0.12117454,0.0,0.0,0.0,0.0,0.0,0.0
ATL,home,PHI,ATL,68.0,345.0,345.0,4.0,4.0,10.0,4.0,-10.0,-3.6002839,0.012550834,0.98744917,-0.011198583,-0.009956205,1.0,2021,,,0,,0.0,,,-16.0,0.27388737,0.16595702,0.26977718,0.11944709,0.16480978,0.0,0.0,0.0,0.0,0.0,0.0
ATL,home,PHI,ATL,59.0,199.0,199.0,4.0,4.0,13.0,6.0,-10.0,-3.159902,0.0002457771,0.99975425,-7.518861e-05,-4.4641034e-05,1.0,2021,,,0,,0.0,,,-23.0,0.40162197,0.13556506,0.20463859,0.1201185,0.12996645,0.0,0.0,0.0,0.0,0.0,0.0
